# WCAP baseline - findings accepted at the time this was written.
# Keyed on file|class|symbol so it survives line-number churn.
# Shrink this file; never grow it. Each removal is a fixed finding.

contracts/eosio.bios/include/eosio.bios/eosio.bios.hpp|A1-native|canceldelay
contracts/eosio.bios/include/eosio.bios/eosio.bios.hpp|A1-native|deleteauth
contracts/eosio.bios/include/eosio.bios/eosio.bios.hpp|A1-native|linkauth
contracts/eosio.bios/include/eosio.bios/eosio.bios.hpp|A1-native|setcode
contracts/eosio.bios/include/eosio.bios/eosio.bios.hpp|A1-native|unlinkauth
contracts/eosio.bios/include/eosio.bios/eosio.bios.hpp|A1-native|updateauth
contracts/eosio.bios/include/eosio.bios/eosio.bios.hpp|A1|newaccount
contracts/eosio.bios/include/eosio.bios/eosio.bios.hpp|A1|onerror
contracts/eosio.bios/include/eosio.bios/eosio.bios.hpp|A1|reqactivated
contracts/eosio.bios/include/eosio.bios/eosio.bios.hpp|A1|setabi
contracts/eosio.boot/include/eosio.boot/eosio.boot.hpp|A1-native|canceldelay
contracts/eosio.boot/include/eosio.boot/eosio.boot.hpp|A1-native|deleteauth
contracts/eosio.boot/include/eosio.boot/eosio.boot.hpp|A1-native|linkauth
contracts/eosio.boot/include/eosio.boot/eosio.boot.hpp|A1-native|setcode
contracts/eosio.boot/include/eosio.boot/eosio.boot.hpp|A1-native|unlinkauth
contracts/eosio.boot/include/eosio.boot/eosio.boot.hpp|A1-native|updateauth
contracts/eosio.boot/include/eosio.boot/eosio.boot.hpp|A1|newaccount
contracts/eosio.boot/include/eosio.boot/eosio.boot.hpp|A1|onerror
contracts/eosio.boot/include/eosio.boot/eosio.boot.hpp|A1|reqactivated
contracts/eosio.boot/include/eosio.boot/eosio.boot.hpp|A1|setabi
contracts/eosio.system/include/eosio.system/eosio.system.hpp|A1|bidrefund
contracts/eosio.system/include/eosio.system/native.hpp|A1-native|canceldelay
contracts/eosio.system/include/eosio.system/native.hpp|A1-native|deleteauth
contracts/eosio.system/include/eosio.system/native.hpp|A1-native|linkauth
contracts/eosio.system/include/eosio.system/native.hpp|A1-native|setcode
contracts/eosio.system/include/eosio.system/native.hpp|A1-native|unlinkauth
contracts/eosio.system/include/eosio.system/native.hpp|A1-native|updateauth
contracts/eosio.system/include/eosio.system/native.hpp|A1|newaccount
contracts/eosio.system/include/eosio.system/native.hpp|A1|onerror
contracts/eosio.system/include/eosio.system/native.hpp|A1|setabi
contracts/eosio.system/include/eosio.system/powerup.results.hpp|A1|powupresult
contracts/eosio.system/src/voting.cpp|C4|weighted_votes

# WBP-1998: the validation/message class, added 2026-09-25. At the audit base (715ddba)
# these checks reported 19 hits; the remediation PRs cleared 13. What remains:
# the three reg*/edit* pairs that still duplicate validation inline, two privileged
# setters with no bound on the value they store (filed as candidate findings), and
# powerup.max_payment, whose sign is bounded indirectly by the fee > 0 check.
contracts/eosio.system/src/eosio.system.cpp|C6-setter|setramrate/bytes_per_block
contracts/eosio.system/src/eosio.system.cpp|C6-setter|setrngrate/max_pool_rng
contracts/eosio.system/src/powerup.cpp|C3|powerup/max_payment
contracts/eosio.system/src/wps.cpp|C6-sibling|regcommittee/edcommittee
contracts/eosio.system/src/wps.cpp|C6-sibling|regproposer/editproposer
contracts/eosio.system/src/wps.cpp|C6-sibling|regreviewer/editreviewer
